wmc,dit,cbo,rfc,ca,ce,loc,moa,amc,max_cc,bug,new_Amc,new_loc,bug_sqrt,NBRM,round
13,5,17,53,8,12,303,1,21.84615385,10,2,22,6,1.414213562,5.935117178,6
14,1,9,45,3,6,425,1,29.14285714,8,0,29,6,0,6.369664322,6
5,5,14,45,4,11,458,3,90,3,0,90,6,0,5.998364036,6
4,1,13,20,5,10,301,2,73.5,2,0,74,6,0,4.422684088,4
8,1,15,31,8,9,356,1,42.125,1,0,42,6,0,4.168460452,4
6,2,16,45,3,13,280,0,45.66666667,1,0,46,6,0,3.964408927,4
4,2,12,21,1,11,279,0,68.5,4,0,69,6,0,3.917903822,4
3,2,11,18,1,10,273,0,89.66666667,1,0,90,6,0,3.880083878,4
24,1,29,89,11,24,534,0,20.95833333,6,6,21,6,2.449489743,2.506899602,3
7,7,5,38,2,4,210,1,28.14285714,8,2,28,5,1.414213562,2.754511692,3
3,7,4,33,1,4,176,0,57.33333333,1,2,57,5,1.414213562,2.675778009,3
10,5,17,27,15,2,258,0,24.4,2,1,24,6,1,3.151210836,3
6,5,5,34,3,5,129,1,20,1,1,20,5,1,3.085519944,3
7,6,7,33,4,6,145,3,19.28571429,1,1,19,5,1,2.849746898,3
5,2,16,35,2,14,256,0,48.8,1,0,49,6,0,3.49962833,3
8,2,18,37,1,17,271,0,32.875,1,0,33,6,0,2.930159245,3
5,6,6,39,3,5,210,1,40,2,0,40,5,0,2.712118822,3
3,5,4,37,2,3,138,0,44.66666667,2,0,45,5,0,2.707214327,3
28,1,45,60,43,2,950,0,32.92857143,14,4,33,7,2,1.810121628,2
8,6,5,31,2,4,123,1,14,2,2,14,5,1.414213562,2.453290495,2
5,6,5,33,2,3,191,1,36,8,2,36,5,1.414213562,2.270568368,2
10,2,5,28,3,4,230,1,21.6,3,2,22,5,1.414213562,1.948169439,2
11,2,5,31,1,5,231,0,19.27272727,8,2,19,5,1.414213562,1.720113338,2
2,8,9,25,2,8,127,0,62.5,9,2,63,5,1.414213562,1.584628797,2
8,6,6,31,4,4,123,1,14,2,1,14,5,1,2.472748247,2
3,7,5,33,2,4,162,0,53,1,1,53,5,1,2.482683875,2
5,6,10,33,4,8,152,2,28.8,1,1,29,5,1,1.896538121,2
6,2,4,19,1,4,93,0,14.5,2,1,15,5,1,1.885306077,2
2,8,11,23,3,11,100,0,49,7,1,49,5,1,1.662878576,2
6,2,5,28,1,5,230,0,36.16666667,7,1,36,5,1,1.782452424,2
5,2,5,28,1,4,199,0,38,8,1,38,5,1,1.647551395,2
45,1,41,77,36,5,1472,2,31.62222222,12,0,32,7,0,2.206249557,2
51,1,58,132,44,21,1458,5,27.25490196,33,0,27,7,0,1.984752142,2
15,1,19,28,18,1,391,1,24.53333333,6,0,25,6,0,1.967466691,2
6,6,7,35,3,6,229,2,36.16666667,1,0,36,5,0,2.421604126,2
6,2,1,23,0,1,141,0,22.16666667,3,0,22,5,0,2.308943782,2
8,5,4,33,2,2,143,0,16.875,3,0,17,5,0,2.243910679,2
4,2,1,11,1,1,93,0,22.25,5,0,22,5,0,2.284598237,2
3,6,4,27,1,3,238,1,76,3,0,76,5,0,2.047931343,2
6,1,3,11,1,3,113,3,16.33333333,5,0,16,5,0,2.021985971,2
6,3,2,19,2,0,184,0,28.83333333,14,0,29,5,0,2.019197555,2
5,1,1,24,1,0,206,0,40.2,6,0,40,5,0,2.126931185,2
5,2,4,18,1,4,106,0,20,3,0,20,5,0,1.874402951,2
5,3,4,18,0,4,173,2,32.4,7,0,32,5,0,1.859486143,2
5,3,4,18,0,4,173,2,32.4,7,0,32,5,0,1.859486143,2
11,2,2,23,1,1,167,0,13.90909091,4,0,14,5,0,1.873465984,2
6,2,4,20,1,3,126,0,19.33333333,4,0,19,5,0,1.6997653,2
6,8,10,24,1,10,144,0,23,5,0,23,5,0,1.50147834,2
11,2,7,30,3,6,198,0,16.72727273,4,0,17,5,0,1.574267654,2
8,1,5,15,4,2,139,1,16,5,0,16,5,0,1.521474884,2
12,1,3,25,2,1,218,0,16.75,3,0,17,5,0,1.604930065,2
39,1,70,144,58,21,1492,1,37,16,8,37,7,2.828427125,1.085449341,1
4,1,5,16,5,0,179,0,41.75,20,5,42,5,2.236067977,1.336534651,1
4,1,11,25,2,9,145,3,33.75,3,4,34,5,2,1.050934935,1
2,8,10,30,2,9,175,0,86.5,15,3,87,5,1.732050808,1.396892578,1
23,1,39,64,33,13,300,3,11.65217391,9,2,12,6,1.414213562,0.956903022,1
5,1,11,26,4,8,155,0,29.4,5,2,29,5,1.414213562,1.009727187,1
6,7,6,18,3,4,55,0,8,1,2,8,4,1.414213562,0.577690781,1
7,2,5,16,1,4,115,0,14.42857143,3,1,14,5,1,1.452360527,1
6,1,8,23,4,4,128,1,19.5,2,1,20,5,1,1.222722809,1
17,1,8,22,5,3,199,4,10.11764706,4,1,10,5,1,1.042873811,1
12,1,19,32,15,6,236,3,18.25,5,1,18,5,1,0.570569772,1
1,8,4,15,2,4,83,0,82,0,1,82,4,1,0.653242709,1
5,2,5,22,1,4,206,0,39.8,11,0,40,5,0,1.498688186,1
1,7,8,21,7,2,93,0,92,0,0,92,5,0,1.427093963,1
5,2,7,22,1,6,93,0,17.2,4,0,17,5,0,1.379043555,1
8,2,5,20,2,3,174,0,20.625,2,0,21,5,0,1.447720402,1
9,1,5,20,3,2,111,0,11.11111111,3,0,11,5,0,1.396934485,1
5,2,5,12,2,3,127,0,24,4,0,24,5,0,1.395831343,1
3,2,4,9,1,3,106,0,34,11,0,34,5,0,1.489276129,1
3,2,4,8,1,3,151,0,48,18,0,48,5,0,1.379595282,1
1,8,9,22,1,9,111,0,110,0,0,110,5,0,1.282165163,1
10,2,8,29,4,5,189,0,17.8,4,0,18,5,0,1.314413006,1
8,2,8,34,2,6,223,0,26.375,8,0,26,5,0,1.308904048,1
9,1,9,24,4,7,174,0,18.22222222,6,0,18,5,0,1.211283066,1
8,1,8,28,1,7,160,2,18.5,6,0,19,5,0,1.300931027,1
5,2,7,20,1,6,153,0,29.4,10,0,29,5,0,1.270728277,1
8,2,6,19,2,4,157,0,18.5,2,0,19,5,0,1.312967946,1
11,1,14,30,9,8,182,3,15.27272727,3,0,15,5,0,1.014788466,1
5,2,11,33,1,10,204,0,39.4,1,0,39,5,0,1.015610777,1
3,2,11,14,2,10,134,2,42.33333333,1,0,42,5,0,0.989842126,1
4,2,10,23,3,7,175,0,42.75,1,0,43,5,0,0.978817746,1
4,2,10,21,2,8,174,0,41.75,1,0,42,5,0,0.955510222,1
1,1,2,1,2,0,186,0,148,0,0,148,5,0,0.994197085,1
5,2,14,27,2,12,182,0,34,1,0,34,5,0,0.722881611,1
2,2,12,10,1,11,137,4,63.5,1,0,64,5,0,0.796992654,1
3,2,11,13,1,10,101,0,32.33333333,6,0,32,5,0,0.835679747,1
2,2,10,9,1,9,106,0,52,1,0,52,5,0,0.819951721,1
25,1,10,37,7,3,161,1,5.2,3,0,5,5,0,0.745336252,1
11,4,18,26,14,5,171,0,14.45454545,2,0,14,5,0,0.545425084,1
2,2,12,22,1,11,185,0,91.5,1,0,92,5,0,0.69065848,1
6,2,16,14,8,8,92,0,13.83333333,1,0,14,5,0,0.528607115,1
4,5,6,16,4,5,62,1,14,2,0,14,4,0,0.676423084,1
3,6,5,18,4,2,71,0,22.66666667,2,0,23,4,0,0.619386049,1
3,6,3,13,1,2,45,0,14,1,0,14,4,0,0.652576741,1
4,3,4,13,4,1,71,0,13,1,0,13,4,0,0.554628624,1
3,5,5,14,1,4,55,0,17.33333333,1,0,17,4,0,0.51791894,1
5,3,5,13,2,4,50,0,8.2,1,0,8,4,0,0.501447414,1
4,1,2,11,1,2,58,0,13.25,4,0,13,4,0,0.588030457,1
4,1,3,12,1,2,37,1,8,2,0,8,4,0,0.528096348,1
4,3,1,8,1,0,82,0,18.5,1,0,19,4,0,0.60052168,1
4,1,2,7,1,1,59,0,13.25,3,0,13,4,0,0.502843377,1
4,1,2,7,1,1,62,0,13.75,3,0,14,4,0,0.500685793,1
99,1,162,325,137,48,4367,7,42.85858586,56,23,43,8,4.795831523,0.060930246,0
55,6,109,200,99,30,1437,8,24.83636364,13,5,25,7,2.236067977,0.230787949,0
22,1,23,36,20,6,239,0,9.545454545,4,4,10,5,2,0.305770696,0
6,1,8,10,7,2,57,1,7.833333333,2,2,8,4,1.414213562,0.336964891,0
2,1,4,2,4,0,2,0,0,1,2,0,1,1.414213562,0.05404356,0
2,1,4,7,4,0,48,2,13,1,1,13,4,1,0.489644072,0
10,1,15,17,14,1,80,0,6.6,1,1,7,4,1,0.149931533,0
10,1,11,13,10,3,33,1,2.2,1,1,2,3,1,0.106748378,0
1,1,12,1,12,0,617,0,496,0,0,496,6,0,0.491175771,0
11,1,22,29,19,3,244,1,20.72727273,5,0,21,5,0,0.313699481,0
16,1,23,25,21,2,128,0,6.875,3,0,7,5,0,0.235340985,0
2,2,6,8,1,6,69,1,32.5,7,0,33,4,0,0.418128476,0
3,2,4,10,2,2,40,0,12.33333333,2,0,12,4,0,0.474228249,0
3,2,4,9,1,3,71,0,22.33333333,6,0,22,4,0,0.447326496,0
4,2,4,8,1,3,55,0,12.25,6,0,12,4,0,0.446700677,0
4,2,4,9,1,3,80,0,18.25,5,0,18,4,0,0.441681372,0
3,2,4,8,1,3,77,0,24,5,0,24,4,0,0.437374035,0
6,1,4,12,3,1,49,0,7.166666667,2,0,7,4,0,0.433884662,0
4,1,2,5,1,1,59,0,13.25,3,0,13,4,0,0.488763506,0
4,1,2,5,1,1,63,0,14.25,2,0,14,4,0,0.486812356,0
13,1,64,55,64,1,433,0,31.23076923,7,0,31,6,0,0.049869124,0
3,6,19,13,19,3,59,1,18.33333333,1,0,18,4,0,0.208185341,0
6,3,14,14,11,5,81,1,10.66666667,1,0,11,4,0,0.246657009,0
5,3,6,13,2,4,47,0,7.8,1,0,8,4,0,0.413806612,0
7,2,6,15,2,4,64,1,7.714285714,1,0,8,4,0,0.400810499,0
3,2,6,9,4,2,34,0,10,1,0,10,4,0,0.392363515,0
5,3,5,6,5,0,36,0,5.4,1,0,5,4,0,0.41613043,0
5,1,9,14,8,2,82,0,15.2,4,0,15,4,0,0.309785073,0
2,2,7,6,1,6,36,0,17,1,0,17,4,0,0.342951399,0
2,2,12,17,1,11,63,0,30.5,1,0,31,4,0,0.23819478,0
2,2,10,9,1,9,36,0,16,1,0,16,4,0,0.272649952,0
2,2,8,8,1,7,50,0,24,1,0,24,4,0,0.31224519,0
2,2,10,9,2,8,40,0,18.5,1,0,19,4,0,0.269155356,0
7,1,5,12,5,0,64,0,7.857142857,4,0,8,4,0,0.382060412,0
2,2,9,6,3,6,54,0,24.5,1,0,25,4,0,0.275610529,0
3,2,11,10,4,7,79,0,25.33333333,1,0,25,4,0,0.235424141,0
2,2,11,9,3,8,65,0,31.5,1,0,32,4,0,0.232127954,0
7,2,16,17,8,8,53,0,6.428571429,1,0,6,4,0,0.157777962,0
3,2,14,10,5,9,63,0,20,1,0,20,4,0,0.182470542,0
2,2,10,7,1,9,79,0,38,1,0,38,4,0,0.241094445,0
8,1,15,9,13,2,66,2,6.875,3,0,7,4,0,0.156487908,0
14,1,8,16,6,2,38,0,1.714285714,1,0,2,4,0,0.255029377,0
2,2,1,5,0,1,14,0,6,1,0,6,3,0,0.245227035,0
2,1,2,3,2,0,16,0,6,0,0,6,3,0,0.207218638,0
19,1,50,30,46,7,240,4,11.31578947,6,0,11,5,0,0.030871563,0
11,1,39,25,38,2,135,0,11.18181818,2,0,11,5,0,0.068138027,0
11,3,51,20,51,1,137,1,11.36363636,2,0,11,5,0,0.024289775,0
6,1,29,14,29,1,49,1,6.833333333,1,0,7,4,0,0.05179423,0
3,1,5,4,5,0,23,2,4,2,0,4,3,0,0.17175593,0
3,2,4,5,1,3,20,0,5.666666667,1,0,6,3,0,0.180491639,0
2,2,7,7,1,6,30,0,14,1,0,14,3,0,0.140272149,0
2,2,7,6,1,6,28,0,13,1,0,13,3,0,0.138890306,0
2,2,7,5,2,5,22,0,9.5,1,0,10,3,0,0.138709866,0
1,1,6,2,6,0,21,1,15,0,0,15,3,0,0.147079676,0
2,2,8,5,2,6,19,0,8,1,0,8,3,0,0.127597969,0
2,2,9,7,1,8,28,0,12.5,1,0,13,3,0,0.117176865,0
3,2,9,7,3,6,30,0,8,1,0,8,3,0,0.116161848,0
2,2,10,6,5,5,30,0,14,1,0,14,3,0,0.104908071,0
6,1,6,8,3,3,24,0,3,2,0,3,3,0,0.138085693,0
4,1,10,5,10,0,28,0,5.25,1,0,5,3,0,0.09644515,0
13,1,6,13,6,0,13,0,0,1,0,0,3,0,0.121592399,0
1,4,3,2,2,1,5,0,4,0,0,4,2,0,0.113900279,0
1,3,3,2,1,2,5,0,4,0,0,4,2,0,0.108539409,0
1,3,3,2,1,2,5,0,4,0,0,4,2,0,0.108539409,0
1,3,4,2,2,2,5,0,4,0,0,4,2,0,0.098989454,0
1,3,4,2,2,2,5,0,4,0,0,4,2,0,0.098989454,0
2,3,5,4,1,4,10,0,4,1,0,4,2,0,0.090090374,0
1,1,1,2,1,0,6,0,3,0,0,3,2,0,0.11900831,0
1,1,1,2,1,0,6,0,3,0,0,3,2,0,0.11900831,0
2,2,4,3,1,3,6,0,2,1,0,2,2,0,0.093606827,0
2,3,7,4,7,0,9,0,3.5,0,0,4,2,0,0.074956903,0
2,2,4,3,3,1,10,0,3.5,1,0,4,2,0,0.09280526,0
1,3,8,2,6,2,5,0,4,0,0,4,2,0,0.068484903,0
6,1,1,6,1,0,6,0,0,1,0,0,2,0,0.109682883,0
5,1,5,5,4,1,5,0,0,1,0,0,2,0,0.077106942,0
1,4,16,2,16,0,5,0,4,0,0,4,2,0,0.034398856,0
1,1,10,2,9,1,12,0,9,0,0,9,2,0,0.05062742,0
5,1,9,5,7,2,5,0,0,1,0,0,2,0,0.053345697,0
7,1,36,7,36,0,7,0,0,1,0,0,2,0,0.004297757,0
2,1,2,2,2,1,2,0,0,1,0,0,1,0,0.071807605,0
2,1,3,2,3,1,2,0,0,1,0,0,1,0,0.065489537,0
2,1,4,2,3,2,2,0,0,1,0,0,1,0,0.059727371,0
3,1,5,3,4,1,3,0,0,1,0,0,1,0,0.04850614,0
4,1,5,4,5,0,4,0,0,1,0,0,1,0,0.047736218,0
2,1,12,2,12,0,3,0,0,1,0,0,1,0,0.025867579,0
3,1,24,3,24,0,4,0,0,1,0,0,1,0,0.008429946,0
1,1,5,1,5,1,1,0,0,1,0,0,0,0,0.038484874,0
1,1,31,1,31,1,1,0,0,1,0,0,0,0,0.003510173,0
